Data Set Name,HI - LO mean: V,HI - LO uncertainty: V,LOW mean: V,LOW uncertainty: V,HIGH mean: V,HIGH uncertainty: V
A0000CH1,0.15644500181462415,7.957330857604837e-08,0.04594450373532551,5.942440082752583e-08,0.20238950554994967,5.292118691061794e-08
A0001CH1,0.062393138033763715,9.017533247330691e-08,0.04609842105263158,6.244113087821377e-08,0.1084915590863953,6.50591712314353e-08
A0002CH1,0.02678531522339344,6.992124636218805e-08,0.046533159268929515,5.707686575635164e-08,0.07331847449232295,4.038826671538665e-08
A0003CH1,0.013609594531939398,9.300621254501798e-08,0.04681166150670796,5.411220371325926e-08,0.060421256038647356,7.564406772023694e-08
A0004CH1,0.005782708142726446,1.0553931964284657e-07,0.04731793229643185,6.650455487764418e-08,0.0531006404391583,8.19493268502027e-08
A0005CH1,0.09317988533643869,7.79435718815623e-08,0.04622541201488571,5.911982102714115e-08,0.1394052973513244,5.0794164619324826e-08
A0006CH1,0.07529522038162723,8.948810774671925e-08,0.047043409211222874,6.264441572739922e-08,0.1223386295928501,6.39046055168265e-08
A0007CH1,0.035461444436004665,7.895616885764189e-08,0.0464004203888597,5.829554623034467e-08,0.08186186482486436,5.32513463715445e-08
A0008CH1,0.029341263338179865,8.69511549746162e-08,0.046843487394957986,5.5413283013457086e-08,0.07618475073313785,6.700650279704376e-08
A0009CH1,0.01695522789825487,7.6211196158897e-08,0.046755451713395645,5.657863467418503e-08,0.06371067961165051,5.1058833891648804e-08
A0010CH1,0.06554264721208969,9.598948539318061e-08,0.04908210526315789,5.7011943094259474e-08,0.11462475247524759,7.722447572282089e-08
A0011CH1,0.01680156461421138,7.446647181863937e-08,0.04690951396070321,5.5631961480834646e-08,0.06371107857491459,4.950091198060033e-08
A0012CH1,0.004542096480207564,5.010973368750311e-08,0.037792101105845195,2.2547196725276467e-08,0.04233419758605276,4.475052323788143e-08
A0013CH1,0.0,2.954548658354176e-08,0.038646,2.089181391667854e-08,0.038646,2.089181391667854e-08
A0014CH1,0.0011124792503346762,1.910450640328048e-08,0.037313520749665326,7.12878195681321e-09,0.038426,1.772463350044788e-08
A0015CH1,0.08489501186105389,1.047284838948603e-07,0.04616631355932204,6.58815487154434e-08,0.13106132542037593,8.141054524919159e-08
A0016CH1,0.07075003687968379,9.924332704284763e-08,0.046811471056824226,5.7404972703590625e-08,0.117561507936508,8.095620465062345e-08
A0017CH1,0.02186103578315901,9.289140980422246e-08,0.047325702393340274,6.815789691423519e-08,0.06918673817649929,6.31135096761738e-08
A0018CH1,0.019651452874978034,9.377846036497797e-08,0.04681663223140496,7.014217103768817e-08,0.066468085106383,6.224528472539462e-08
A0019CH1,0.009931949037635168,1.0719512292661777e-07,0.04593446852425181,6.091890433342432e-08,0.055866417561886976,8.820250265195309e-08
A0020CH1,0.1063851310118617,1.1116778879174028e-07,0.04689331210191083,6.630906704301916e-08,0.15327844311377253,8.922659296829263e-08
A0021CH1,0.10340963469536427,1.1712977289489192e-07,0.04771080508474576,6.066547187088061e-08,0.15112043978011003,1.0019523053066124e-07
A0022CH1,0.06511281943466245,9.219835922782491e-08,0.04603060686015832,6.76810539793966e-08,0.11114342629482077,6.260840499917762e-08
A0023CH1,0.04599931643081582,9.146958395533743e-08,0.046430599369085175,6.439005345239625e-08,0.092429915799901,6.49661897094179e-08
A0024CH1,0.028974678724199905,9.077123912414699e-08,0.04612370600414079,7.110869186983817e-08,0.0750983847283407,5.641783222256493e-08
A0025CH1,0.020184436863348094,8.915116765387832e-08,0.0458853305785124,6.444143044902234e-08,0.0660697674418605,6.160546027531762e-08
A0026CH1,0.02136892425458011,7.820042414766097e-08,0.04586608066184076,6.39270569646012e-08,0.06723500491642087,4.5040401027507604e-08
A0027CH1,0.06826799003243526,9.46861066917296e-08,0.0460068493150685,6.818229618184734e-08,0.11427483934750376,6.57010904613344e-08
A0028CH1,0.06441447203943493,9.549008577123109e-08,0.04666031746031747,6.107845895954978e-08,0.1110747894997524,7.340148725825426e-08
A0029CH1,0.07383890934150164,1.0384582660648704e-07,0.04641816261879621,6.414889866702912e-08,0.12025707196029785,8.16631771570994e-08
A0030CH1,0.0319295030224234,8.304976465960055e-08,0.045339916839916845,5.8396342162596536e-08,0.07726941986234025,5.9051931653790863e-08
A0031CH1,0.029545214627814342,6.99615743280233e-08,0.045232727272727286,5.2380855733221664e-08,0.07477794190054163,4.637744964000228e-08
A0032CH1,0.02501449204675013,8.239717599508388e-08,0.0451995841995842,5.6471790399753385e-08,0.07021407624633433,6.000192914407961e-08
A0033CH1,0.02201883660397358,8.313080479030737e-08,0.04525168306576903,6.057853640996223e-08,0.06727051966974261,5.692953215608813e-08
A0034CH1,0.022267348216275677,8.141002837232279e-08,0.045544231764097255,6.436699218846915e-08,0.06781157998037293,4.984458883561938e-08
A0035CH1,0.01573787708540031,1.0931768050723925e-07,0.04634416924664604,6.883195339977804e-08,0.06208204633204635,8.49265415677197e-08
A0036CH1,0.06128029913174685,8.517694578771561e-08,0.04581286241433844,6.220150425225395e-08,0.1070931615460853,5.819007615118129e-08
A0037CH1,0.0680514710195941,8.846730412338397e-08,0.04628880675818374,6.638487241851183e-08,0.11434027777777785,5.8476598848062435e-08
A0038CH1,0.06691341883683954,1.0064462203071551e-07,0.04572947368421054,7.334235538685447e-08,0.11264289252105009,6.892197653879295e-08
A0039CH1,0.01767041017445433,1.010344159449734e-07,0.04588665636269964,6.721719785659068e-08,0.06355706653715397,7.54307730150622e-08
A0040CH1,0.014851589880584527,9.67217121272849e-08,0.04601540041067763,6.981638851592828e-08,0.060866990291262156,6.693849035813647e-08
A0041CH1,0.015009899151060276,9.47717550049177e-08,0.045971707818930056,6.536179481865269e-08,0.06098160696999033,6.862595226877722e-08
A0042CH1,0.020112862501143552,7.049779400757637e-08,0.04543027475375842,5.355399645918511e-08,0.06554313725490198,4.584657482499931e-08
A0043CH1,0.0071586388007045185,1.0117585413506507e-07,0.0457337723424271,8.064154125504123e-08,0.05289241114313162,6.11023345214522e-08
A0044CH1,0.00606749285460044,1.0143977358858093e-07,0.04650904977375567,8.164280184320972e-08,0.05257654262835611,6.020365913209057e-08
A0045CH1,0.0987029935685877,9.38509119789228e-08,0.046026709401709415,6.026626073536119e-08,0.1447297029702971,7.194422489854886e-08
A0046CH1,0.13280356162541881,8.837032737017842e-08,0.04608842443729905,6.308629729448004e-08,0.17889198606271786,6.188241958088732e-08
A0047CH1,0.04945000972941843,9.497217135389372e-08,0.046590285110876456,6.491660078358368e-08,0.09604029484029489,6.932206195994298e-08
A0048CH1,0.03827933984445653,8.215812026997815e-08,0.04604368421052632,6.269215865386329e-08,0.08432302405498285,5.310037636038964e-08
A0049CH1,0.020617954431630413,7.579021355678612e-08,0.045850234009360384,6.201524399765896e-08,0.0664681884409908,4.356909435476104e-08
A0050CH1,0.020903621342125984,8.767904680498455e-08,0.04663461538461539,7.260439490843109e-08,0.06753823672674138,4.9155031162753396e-08
A0051CH1,0.01327903177903178,7.971531564055402e-08,0.045769230769230784,5.839783958531422e-08,0.059048262548262564,5.4260702902202284e-08
A0052CH1,0.009767746440826619,9.208040896672455e-08,0.045241786447638606,5.379904983018413e-08,0.055009532888465225,7.472927105792355e-08
A0053CH1,0.004943809807375792,7.684280288407716e-08,0.045891149542217714,4.458654755101353e-08,0.050834959349593506,6.258479154365176e-08
A0054CH1,0.10333477382018177,1.1065051084180273e-07,0.04655938494167552,7.381753442251935e-08,0.1498941587618573,8.242880055740272e-08
A0055CH1,0.065048563145449,9.257494102321073e-08,0.046623211446740864,6.387511166964176e-08,0.11167177459218987,6.700813245152966e-08
A0056CH1,0.0323829847304776,9.809718890262542e-08,0.04642384453781513,6.942627216453994e-08,0.07880682926829273,6.93040489721387e-08
